adm4_pcode,governorate_name,delegation_name,imada_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN116955,Tunis,La Goulette,Cite Essalama,2,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN117051,Tunis,Le Kram,Le Kram Est,11,2,18.2,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN117052,Tunis,Le Kram,Erriadh,6,1,16.7,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN117053,Tunis,Le Kram,El Bouhaira,8,2,25.0,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN117054,Tunis,Le Kram,Sidi Fredj,3,2,66.7,2,100.0,34.2,100.0,2,100.0,2,0,0,2,0,0,100.0,0.0,0.0,0
TN117055,Tunis,Le Kram,Le Kram Ouest,8,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN117056,Tunis,Le Kram,Sidi Amor,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN117057,Tunis,Le Kram,Bir El Helou,3,1,33.3,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN117151,Tunis,La Marsa,La Marsa Plage,5,2,40.0,1,50.0,9.5,90.5,1,50.0,0,0,1,0,0,1,0.0,0.0,50.0,2
TN117152,Tunis,La Marsa,La Marsa Medina,18,2,11.1,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
TN117153,Tunis,La Marsa,La Marsa Hadayek,4,1,25.0,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN117154,Tunis,La Marsa,La Marsa Erriadh,15,2,13.3,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
TN117155,Tunis,La Marsa,Er-Rmila,4,1,25.0,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN117156,Tunis,La Marsa,La Marsa El Montazeh,1,1,100.0,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN117157,Tunis,La Marsa,Gammarth,8,1,12.5,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN117158,Tunis,La Marsa,Gammarth Superieur,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN117159,Tunis,La Marsa,Sidi Daoued,8,2,25.0,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
TN117160,Tunis,La Marsa,El Bahr El Azrak,8,2,25.0,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
